Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,8.340000,8.340000,7.910000,8.020000,8.020000,9113400
2015-01-05,7.950000,8.040000,7.710000,7.790000,7.790000,9801700
2015-01-06,7.850000,8.050000,7.690000,7.910000,7.910000,14728400
2015-01-07,8.000000,8.230000,7.860000,7.950000,7.950000,17465500
2015-01-08,7.990000,8.140000,7.620000,7.840000,7.840000,16389300
2015-01-09,7.960000,8.030000,7.680000,7.740000,7.740000,10988200
2015-01-12,7.750000,7.810000,7.330000,7.420000,7.420000,12997400
2015-01-13,7.440000,7.620000,7.320000,7.480000,7.480000,10886100
2015-01-14,7.360000,7.520000,7.200000,7.370000,7.370000,9800700
2015-01-15,7.500000,7.550000,7.120000,7.300000,7.300000,13337800
2015-01-16,7.260000,7.440000,7.180000,7.340000,7.340000,12764200
2015-01-20,7.340000,7.420000,7.130000,7.270000,7.270000,10560000
2015-01-21,7.220000,7.340000,7.050000,7.160000,7.160000,12693700
2015-01-22,7.190000,7.550000,7.070000,7.500000,7.500000,12936100
2015-01-23,7.450000,7.540000,7.290000,7.320000,7.320000,8018800
2015-01-26,7.310000,7.420000,7.180000,7.200000,7.200000,10384100
2015-01-27,7.080000,7.160000,7.000000,7.080000,7.080000,10812900
2015-01-28,7.180000,7.200000,6.830000,6.950000,6.950000,11230400
2015-01-29,6.930000,7.390000,6.750000,7.340000,7.340000,18892100
2015-01-30,7.380000,7.410000,7.080000,7.160000,7.160000,11998200
2015-02-02,7.150000,7.310000,7.040000,7.220000,7.220000,10342300
2015-02-03,7.250000,7.460000,7.180000,7.420000,7.420000,9013500
2015-02-04,7.350000,7.480000,7.260000,7.300000,7.300000,7324400
2015-02-05,7.530000,7.610000,7.380000,7.460000,7.460000,11335100
2015-02-06,7.420000,7.460000,7.310000,7.390000,7.390000,8690300
2015-02-09,7.390000,7.560000,7.350000,7.460000,7.460000,10122000
2015-02-10,7.470000,7.520000,7.350000,7.420000,7.420000,11817900
2015-02-11,7.410000,7.630000,7.400000,7.580000,7.580000,14023800
